Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type,Property Type - Self Selected,Year Built,Energy Audit Due Date,Energy Audit Status,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption,2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Percentage Better than National Median Source EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Percentage Better than National Median Source EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Percent Better than National Median Source EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percent Better than National Median Source EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percent Better than National Median Source EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0226/014,746 SACRAMENTO ST,746 SACRAMENTO ST,94108,52962,Mixed Residential,,1908,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0287/020,447 BUSH ST,447 BUSH ST,94108,78587,Mixed Residential,,1914,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291/004,560 MARKET ST,560 MARKET ST,94104,11734,Commercial,Retail Store,1907,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,31.3,89.5,-50.8,-50.8,31.6,89.8,90,33.3,93.1,-50.5,-50.5,33.4,93.2,,,,,,,,,,,,,,
0294/021,323 SUTTER ST,323 SUTTER ST,94108,89950,Mixed Residential,,1909,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0297/013,635 SUTTER ST,635 SUTTER ST,94102,43860,Commercial,Hotel,1911,2014-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303/001,645 LEAVENWORTH ST,645 LEAVENWORTH ST,94109,68575,Mixed Residential,Multifamily Housing,1913,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,66.8,87.2,-9.1,-9.1,70.8,91.4,65,66.4,87.9,-10.2,-10.2,68.5,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/026,441 MASON ST,441 MASON ST,94102,152925,Mixed Residential,,,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0326/023,140 ELLIS ST,140 ELLIS ST,94102,63450,Mixed Residential,Hotel,1908,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,32.7,67.1,-42.9,-42.9,32.7,67.1,45,67.5,122.7,3.9,3.9,67.3,122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0327/025,1 STOCKTON ST,1 STOCKTON ST,94102,16987,Commercial,Retail,1973,2018-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0355/009,1272 MARKET ST,1272 MARKET ST,94102,53304,Mixed Residential,,1907,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0602/012,2190 WASHINGTON ST,2190 WASHINGTON ST,94109,189378,Mixed Residential,,1961,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0649/024,1880 Pine Street- RAD California Corridor,1880 PINE ST,94109,132787,Mixed Residential,Parking,1900,,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,93.6,140,13.2,13.2,93.9,140.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0681/044,2180 POST ST,2180 POST ST,94115,195791,Multifamily,,2000,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0688/042,1450 POST ST,1450 POST ST,94109,180000,Mixed Residential,Senior Care Community,1992,,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,27.1,61.3,-37.8,-37.8,29,65.1,90,30.5,67.5,-31.8,-31.8,31.6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0735/031,1135 ELLIS ST,1135 ELLIS ST,94109,137041,Mixed Residential,,1968,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0739/017,826 Van Ness Ave,826 Van Ness Ave,94109,85817,Mixed Residential,,2009,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058/012,10 LUPINE AVE,10 LUPINE AVE,94118,166005,Mixed Residential,,1957,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073/055,John Burton Advocates for Youth Housing Complex,800 PRESIDIO AVE,94115,57000,Mixed Residential,Multifamily Housing,1952,,,Violation - Did Not Report,,Complied,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,,,,,,,76,23.9,63.3,-17.4,-17.4,23.9,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300/001-A,Veteran's Academy,428 AMATURY LOOP,94129,221255,Mixed Residential,Multifamily Housing,,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,46,80.9,6.2,6.2,46,80.9,43,51.3,84.6,4.4,4.4,51.9,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456/030,462 25TH AVE,462 25TH AVE,94121,67200,Mixed Residential,,1966,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703/060,1089 MARKET ST,1089 MARKET ST,94103,13250,Commercial,Retail,1920,2022-04-01 0:00:00,Upcoming,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706/127,Residences at the Four Seasons,765 MARKET ST,94103,374387,Mixed Residential,,2001,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719/020,301 MISSION ST,301 MISSION ST,94105,1276915,Mixed Residential,Multifamily Housing,2009,,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,18.1,50.7,-12.3,-12.3,18.1,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729/097,1235 HOWARD ST,1235 HOWARD ST,94103,59028,Mixed Residential,,2000,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733/159,EUGENE COLEMAN HOUSE,825 HOWARD ST,94103,93600,Multifamily,Multifamily Housing,1971,,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,35.9,56.5,-52.2,-52.2,36.3,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735/065,246 02ND ST,246 2ND ST,94105,135151,Mixed Residential,,,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750/090,SoMa Square Apartments,351 3rd St,94107,513768,Mixed Residential,Multifamily Housing,1987,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,32.8,66.8,-21.5,-21.5,34.1,70.5,70,40.8,78.6,-11.9,-11.9,41.4,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751/420,766 HARRISON ST,766 HARRISON ST,94107,122291,Mixed Residential,,2008,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3764/071,461 02ND ST,461 2ND ST,94107,262755,Mixed Residential,,1907,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783/011,625 08TH ST,625 8TH ST,94103,641987,Multifamily,Multifamily Housing,1900,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,30,61.3,-35,-35,30.4,62.1,94,32.1,64.2,-32.5,-32.5,32.3,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3785/004A,444 TOWNSEND ST,444 TOWNSEND ST,94107,73100,Commercial,Other,1923,2014-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786/263,310 TOWNSEND ST,310 TOWNSEND ST,94107,92647,Mixed Residential,Multifamily Housing,2006,,,Complied,,Complied,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,21.8,43.7,-8,-8,23.2,45.2,98,16.2,28.4,-42.6,-42.6,17,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3911/014,1 Henry Adams,1 Henry Adams,94103,276783,Multifamily,Multifamily Housing,2017,,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,49.6,91.4,-2.8,-2.8,49.6,91.4,51,52.2,93.7,-1.2,-1.2,52.2,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3927/004A,2500 16th St.,2500 16th St.,94103,30000,Commercial,Other,1925,2021-04-01 0:00:00,Did Not Comply,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,,,,,,,,,,,,,,,74.6,120.5,35,35,74.5,120.4,,75.1,128.8,4.7,4.7,78.3,132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948/004,1050 17TH ST,1050 17TH ST,94107,57783,Multifamily,,2002,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973/002C,480 POTRERO AVE,480 POTRERO AVE,94110,76601,Multifamily,,1924,,,Violation - Insufficient Data,,Exempt,PG&E will not provide data,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3995/125,2000 03RD ST,2000 3RD ST,94107,89378,Mixed Residential,,2002,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000/053,208 PENNSYLVANIA AVE,208 PENNSYLVANIA AVE,94107,90000,Mixed Residential,Multifamily Housing,2000,,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4216/002,2225 23RD ST,2225 23RD ST,94107,165637,Mixed Residential,,1989,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4884/037,Alice Griffith Phase 3b,2500 Arelious Walker,94124,49742,Mixed Residential,Multifamily Housing,2018,,,Complied,,Complied,,Exempt,Added After Benchmark Year,,,,,,,,,,,,,,,,16.8,47,-46.5,-46.5,16.8,47,100,9.6,27,-69.5,-69.5,9.6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5291/033,Bayview Commons,4435 3RD ST,94124,50775,Mixed Residential,,2003,,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5431B/001,5830 03RD ST,5830 3RD ST,94124,348553,Mixed Residential,,2010,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5843/007,Alemany,500 ALEMANY BLVD,94110,120130,Mixed Residential,Multifamily Housing,,,,Violation - Insufficient Data,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,95,44.4,49,-36.9,-36.9,44.4,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6985/029,1063 CAPITOL AVE,1063 CAPITOL AVE,94112,78025,Mixed Residential,,1985,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023/004A,2750 19TH ST,2750 19TH ST,94110,10934,Commercial,Manufacturing/Industrial Plant,1907,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,15.1,23.5,,,16.8,25.2,,17.9,38.7,,,19.4,40.3,,16.1,36.7,,,18.4,39.1,,19.6,41.2,,,21.8,43.6,,14,34.9,,,14,34.9,,18.2,39.8,,,16.8,38.4,,,,,,,,,,,,,,
